sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10238345,Lash Love Fanorama Define+Lift Mascara,18.00,,2026-04-30,2026-04-30,Lash Love Fanorama Define+Lift Mascara,Lash Love Fanorama Define+Lift Mascara
10238964,Mary Kay True Optimism Eau de Parfum,55.00,,2026-04-30,2026-04-30,True Optimism Eau de Parfum,True Optimism Eau de Parfum
10252597,Mary Kay Blush Stick de edición especial - Kind Spirit,20.00,,2026-04-30,2026-04-30,Blush Stick - Kind Spirit,Blush Stick
10252598,Mary Kay Blush Stick de edición especial - Spark Change,20.00,,2026-04-30,2026-04-30,Blush Stick - Spark Change,Blush Stick
10248713,Mary Kay Complexion Sponge,14.00,,2026-04-30,2026-04-30,Complexion Sponge,Complexion Sponge
10210733,TimeWise Matte 3D Foundation - Light 1,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Light 1,TimeWise Matte 3D Foundation
10210785,TimeWise Luminous 3D Foundation - Light 1,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Light 1,TimeWise Luminous 3D Foundation
10210734,TimeWise Matte 3D Foundation - Light 2,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Light 2,TimeWise Matte 3D Foundation
10210786,TimeWise Luminous 3D Foundation - Light 2,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Light 2,TimeWise Luminous 3D Foundation
10210735,TimeWise Matte 3D Foundation - Light 3,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Light 3,TimeWise Matte 3D Foundation
10210787,TimeWise Luminous 3D Foundation - Light 3,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Light 3,TimeWise Luminous 3D Foundation
10210736,TimeWise Matte 3D Foundation - Light 4,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Light 4,TimeWise Matte 3D Foundation
10210788,TimeWise Luminous 3D Foundation - Light 4,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Light 4,TimeWise Luminous 3D Foundation
