sku,product_name,price,,,,
10234061,New! Mary Kay Clinical Solutions® Barrier Restore 1:1:3,46.00,,,,
10191325,New! Mary Kay® Great Heights™ Waterproof Mascara Black,18.00,,,,
10241274,New! Mary Kay® Shimmer Eye Shadow Stick Midnight Galaxy Shimmer,20.00,,,,
10241275,New! Mary Kay® Shimmer Eye Shadow Stick Radiant Bronze Shimmer,20.00,,,,
10241276,New! Mary Kay® Shimmer Eye Shadow Stick Copper Nova Shimmer,20.00,,,,
10241277,New! Mary Kay® Shimmer Eye Shadow Stick Golden Sunrise Shimmer,20.00,,,,
10241278,New! Mary Kay® Shimmer Eye Shadow Stick Pink Prisms Shimmer,20.00,,,,
10254606,New! The Look (Winter 2025) pk./10 - English,5.00,,,,
10254607,New! The Look (Winter 2025),5.00,,,,
10236898,Limited-Edition† Mary Kay® Gel Cream Blush Pink Stars,20.00,,,,
10236902,Limited-Edition† Mary Kay® Gel Cream Blush Passionfruit,20.00,,,,
10236901,Limited-Edition† Mary Kay® Gel Cream Blush Coral Kiss,20.00,,,,
10236899,Limited-Edition† Mary Kay® Gel Cream Blush Soft Buff,20.00,,,,
10235072,Mary Kay® Nourishing Oil,50.00,,,,
10230672,Mary Kay® Hydrating Regimen Normal to Dry,80.00,,,,
10230673,Mary Kay® Mattifying Regimen Combination to Oily,80.00,,,,
10201304,Mary Kay® Hydrating Cleanser,20.00,,,,
10201374,Mary Kay® Hydrating Moisturizer,20.00,,,,
10201340,Mary Kay® Mattifying Cleanser,20.00,,,,
10201376,Mary Kay® Mattifying Moisturizer,20.00,,,,
10201395,Mary Kay® Exfoliating Scrub,20.00,,,,
10201384,Mary Kay® Balancing Toner,20.00,,,,
10204126,Mary Kay® Hydrating Go Set Normal to Dry,22.00,,,,
10204143,Mary Kay® Mattifying Go Set Combination to Oily,22.00,,,,
10219506,TimeWise® Targeted-Action® Toning Lotion,36.00,,,,
10217417,TimeWise® Miracle Set® Normal/Dry,116.00,,,,
10217415,TimeWise® Miracle Set® Combination/Oily,116.00,,,,
10223243,Ultimate TimeWise® Miracle Set® Normal/Dry,150.00,,,,
10223244,Ultimate TimeWise® Miracle Set® Combination/Oily,150.00,,,,
10223246,Beyond Ultimate TimeWise® Miracle Set® Normal/Dry,208.00,,,,
10223245,Beyond Ultimate TimeWise® Miracle Set® Combination/Oily,208.00,,,,
10217385,TimeWise® Daytime Defender Sunscreen Broad Spectrum SPF 30†,34.00,,,,
10217387,TimeWise® Nighttime Recovery,34.00,,,,
10217393,TimeWise® Antioxidant Moisturizer Normal/Dry,34.00,,,,
10217391,TimeWise® Antioxidant Moisturizer Combination/Oily,34.00,,,,
10217408,TimeWise® Eye Cream,38.00,,,,
10217406,TimeWise® 4-in-1 Cleanser Normal / Dry,26.00,,,,
10217404,TimeWise® 4-in-1 Cleanser Combination / Oily,26.00,,,,
10217456,TimeWise® Miracle Set® The Go Set Normal/Dry,28.00,,,,
10217455,TimeWise® Miracle Set® The Go Set Combination/Oily,28.00,,,,
10198866,TimeWise® Microdermabrasion Plus Set,58.00,,,,
10198715,TimeWise® Pore Minimizer,28.00,,,,
10171886,TimeWise Replenishing Serum C+E®,60.00,,,,
10151329,TimeWise® Moisture Renewing Gel Mask,26.00,,,,
10225538,TimeWise® Firming Eye Cream,34.00,,,,
10224657,TimeWise® Microdermabrasion Refine,36.00,,,,
10071883,TimeWise Repair® Volu-Fill® Deep Wrinkle Filler,50.00,,,,
10088897,TimeWise Repair® Revealing Radiance® Facial Peel,68.00,,,,
10107547,TimeWise Repair® Lifting Bio-Cellulose Mask,70.00,,,,
10208384,TimeWise Repair® Volu-Firm® Day Cream Sunscreen Broad Spectrum SPF 30*,54.00,,,,
10208386,TimeWise Repair® Volu-Firm® Night Treatment With Retinol,54.00,,,,
10208547,TimeWise Repair® Volu-Firm® Eye Renewal Cream,44.00,,,,
10211389,TimeWise Repair Volu-Firm The Go Set®,38.00,,,,
10208549,TimeWise Repair® Volu-Firm® Foaming Cleanser,30.00,,,,
10208543,TimeWise Repair® Volu-Firm® Advanced Lifting Serum,74.00,,,,
