sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms,predecessor_sku,fact_sheet_url,order_of_application_url,use_up_rate_months,previous_price,price_changed_at
10238345,Mary Kay Lash Love Fanorama Define + Lift Mascara,18.00,,2026-04-30,2026-07-03,Lash Love Fanorama Define+Lift Mascara,Lash Love Fanorama Define+Lift Mascara,10142038,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dw6b26621f/Original/10006/Lash_Love_Fanorama_Define_Lift_FactSheet.pdf,,none,,
10238964,Mary Kay True Optimism Eau de Parfum,55.00,,2026-04-30,2026-07-03,True Optimism Eau de Parfum,True Optimism Eau de Parfum,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dw43667aca/Original/10006/Mary_Kay_True_Optimism_Eau_de_Parfum_Fact_Sheet.pdf,,none,,
10248713,Mary Kay Complexion Sponge,14.00,,2026-04-30,2026-07-03,Complexion Sponge,Complexion Sponge,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dw7ed90410/Original/10006/Mary_Kay_Complexion_Sponge_Fact_Sheet.pdf,,none,,
10252597,Special-Edition Mary Kay Blush Stick - Kind Spirit,20.00,,2026-04-30,2026-07-03,Blush Stick - Kind Spirit,Blush Stick,,,,,,
10252598,Special-Edition Mary Kay Blush Stick - Spark Change,20.00,,2026-04-30,2026-07-03,Blush Stick - Spark Change,Blush Stick,,,,,,
10210785,TimeWise Luminous 3D Foundation - Light 1​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 1,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210786,TimeWise Luminous 3D Foundation - Light 2​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 2,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210787,TimeWise Luminous 3D Foundation - Light 3​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 3,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210788,TimeWise Luminous 3D Foundation - Light 4​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 4,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210789,TimeWise Luminous 3D Foundation - Light 5​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 5,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210790,TimeWise Luminous 3D Foundation - Light 6​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 6,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210791,TimeWise Luminous 3D Foundation - Light 7​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Light 7,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210793,TimeWise Luminous 3D Foundation - Medium 1​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 1,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210794,TimeWise Luminous 3D Foundation - Medium 2​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 2,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210795,TimeWise Luminous 3D Foundation - Medium 3​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 3,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210796,TimeWise Luminous 3D Foundation - Medium 4​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 4,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210797,TimeWise Luminous 3D Foundation - Medium 5​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 5,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210798,TimeWise Luminous 3D Foundation - Medium 6​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 6,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210799,TimeWise Luminous 3D Foundation - Medium 7​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 7,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210801,TimeWise Luminous 3D Foundation - Medium 8​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Medium 8,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
