sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10235578,Mary Kay Hydrating Cream Mask,24.00,,,2026-04-08,Hydrating Cream Mask,Hydrating Cream Mask
10261957,Mix & Mask,50.00,,,2026-04-08,Mix & Mask,Mix & Mask
10229067,Mary Kay After-Sun Replenishing Gel de edición especial,20.00,,,2026-04-08,After-Sun Replenishing Gel de edición especial,After-Sun Replenishing Gel
10237926,Mary Kay Unlimited Lip Gloss de edición limitada - Lilac Love,18.00,,,2026-04-08,Unlimited Lip Gloss de edición limitada - Lilac Love,Unlimited Lip Gloss
10237927,Mary Kay Unlimited Lip Gloss de edición limitada - Cherry Red,18.00,,,2026-04-08,Unlimited Lip Gloss de edición limitada - Cherry Red,Unlimited Lip Gloss
10237928,Mary Kay Unlimited Lip Gloss de edición limitada - Rose Noir,18.00,,,2026-04-08,Unlimited Lip Gloss de edición limitada - Rose Noir,Unlimited Lip Gloss
10257563,Paquete Citrus & Shea de edición limitada,28.00,,,2026-04-08,Paquete Citrus & Shea de edición limitada,Paquete Citrus & Shea
10233594,Mary Kay Illuminating Bronzer de edición limitada - Medium Glow,22.00,,,2026-04-08,Illuminating Bronzer de edición limitada - Medium Glow,Illuminating Bronzer
10233595,Mary Kay Illuminating Bronzer de edición limitada - Deep Glow,22.00,,,2026-04-08,Illuminating Bronzer de edición limitada - Deep Glow,Illuminating Bronzer
10235072,Mary Kay Nourishing Oil,50.00,,,2026-04-08,Nourishing Oil,Nourishing Oil
10230672,Mary Kay Hydrating Regimen - Normal/Reseca,80.00,skin care,,2026-04-08,Hydrating Regimen - Normal/Reseca,Hydrating Regimen
10230673,Mary Kay Mattifying Regimen - Combinada/grasa,80.00,skin care,,2026-04-08,Mattifying Regimen - Combinada/grasa,Mattifying Regimen
10201304,Mary Kay Hydrating Cleanser,20.00,,,2026-04-08,Hydrating Cleanser,Hydrating Cleanser
10201374,Mary Kay Hydrating Moisturizer,20.00,,,2026-04-08,Hydrating Moisturizer,Hydrating Moisturizer
10201340,Mary Kay Mattifying Cleanser,20.00,,,2026-04-08,Mattifying Cleanser,Mattifying Cleanser
10201376,Mary Kay Mattifying Moisturizer,20.00,,,2026-04-08,Mattifying Moisturizer,Mattifying Moisturizer
10201395,Mary Kay Exfoliating Scrub,20.00,,,2026-04-08,Exfoliating Scrub,Exfoliating Scrub
10201384,Mary Kay Balancing Toner,20.00,,,2026-04-08,Balancing Toner,Balancing Toner
10204126,Mary Kay Hydrating Go Set - Normal/Reseca,22.00,,,2026-04-08,Hydrating Go Set - Normal/Reseca,Hydrating Go Set
10204143,Mary Kay Mattifying Go Set - Combinada/grasa,22.00,,,2026-04-08,Mattifying Go Set - Combinada/grasa,Mattifying Go Set
10219506,TimeWise Targeted-Action Toning Lotion,36.00,,,2026-04-08,TimeWise Targeted-Action Toning Lotion,TimeWise Targeted-Action Toning Lotion
10217417,Juego Milagroso TimeWise - Normal/Reseca,116.00,,,2026-04-08,Juego Milagroso TimeWise - Normal/Reseca,Juego Milagroso TimeWise
10217415,Juego Milagroso TimeWise - Combinada/grasa,116.00,,,2026-04-08,Juego Milagroso TimeWise - Combinada/grasa,Juego Milagroso TimeWise
10223243,Juego Milagroso TimeWise Ultimate - Normal/reseca,150.00,,,2026-04-08,Juego Milagroso TimeWise Ultimate - Normal/reseca,Juego Milagroso TimeWise Ultimate
10223244,Juego Milagroso TimeWise Ultimate - Combinada/Grasa,150.00,,,2026-04-08,Juego Milagroso TimeWise Ultimate - Combinada/Grasa,Juego Milagroso TimeWise Ultimate
10223246,Juego Milagroso TimeWise Beyond Ultimate - Normal/Reseca,208.00,,,2026-04-08,Juego Milagroso TimeWise Beyond Ultimate - Normal/Reseca,Juego Milagroso TimeWise Beyond Ultimate
10223245,Juego Milagroso TimeWise Beyond Ultimate - Combinada/Grasa,208.00,,,2026-04-08,Juego Milagroso TimeWise Beyond Ultimate - Combinada/Grasa,Juego Milagroso TimeWise Beyond Ultimate
10217385,TimeWise Daytime Defender Sunscreen Broad Spectrum SPF 30,34.00,,,2026-04-08,TimeWise Daytime Defender,TimeWise Daytime Defender
10217387,TimeWise Nighttime Recovery,34.00,,,2026-04-08,TimeWise Nighttime Recovery,TimeWise Nighttime Recovery
10217393,TimeWise Antioxidant Moisturizer - Normal/Reseca,34.00,,,2026-04-08,TimeWise Antioxidant Moisturizer - Normal/Reseca,TimeWise Antioxidant Moisturizer
10217391,TimeWise Antioxidant Moisturizer - Combinada/Grasa,34.00,,,2026-04-08,TimeWise Antioxidant Moisturizer - Combinada/Grasa,TimeWise Antioxidant Moisturizer
10217408,TimeWise Eye Cream,38.00,,,2026-04-08,TimeWise Eye Cream,TimeWise Eye Cream
